key,emo,version,name,status,uni,codepoints
grinning_face,😀,E1.0,grinning face,fully-qualified,1f600,1F600
grinning_face_with_big_eyes,😃,E0.6,grinning face with big eyes,fully-qualified,1f603,1F603
grinning_face_with_smiling_eyes,😄,E0.6,grinning face with smiling eyes,fully-qualified,1f604,1F604
beaming_face_with_smiling_eyes,😁,E0.6,beaming face with smiling eyes,fully-qualified,1f601,1F601
grinning_squinting_face,😆,E0.6,grinning squinting face,fully-qualified,1f606,1F606
grinning_face_with_sweat,😅,E0.6,grinning face with sweat,fully-qualified,1f605,1F605
rolling_on_the_floor_laughing,🤣,E3.0,rolling on the floor laughing,fully-qualified,1f923,1F923
face_with_tears_of_joy,😂,E0.6,face with tears of joy,fully-qualified,1f602,1F602
slightly_smiling_face,🙂,E1.0,slightly smiling face,fully-qualified,1f642,1F642
upside_down_face,🙃,E1.0,upside-down face,fully-qualified,1f643,1F643
melting_face,🫠,E14.0,melting face,fully-qualified,1fae0,1FAE0
winking_face,😉,E0.6,winking face,fully-qualified,1f609,1F609
smiling_face_with_smiling_eyes,😊,E0.6,smiling face with smiling eyes,fully-qualified,1f60a,1F60A
smiling_face_with_halo,😇,E1.0,smiling face with halo,fully-qualified,1f607,1F607
smiling_face_with_hearts,🥰,E11.0,smiling face with hearts,fully-qualified,1f970,1F970
smiling_face_with_heart_eyes,😍,E0.6,smiling face with heart-eyes,fully-qualified,1f60d,1F60D
star_struck,🤩,E5.0,star-struck,fully-qualified,1f929,1F929
face_blowing_a_kiss,😘,E0.6,face blowing a kiss,fully-qualified,1f618,1F618
kissing_face,😗,E1.0,kissing face,fully-qualified,1f617,1F617
smiling_face,☺,E0.6,smiling face,unqualified,263a,263A
kissing_face_with_closed_eyes,😚,E0.6,kissing face with closed eyes,fully-qualified,1f61a,1F61A
kissing_face_with_smiling_eyes,😙,E1.0,kissing face with smiling eyes,fully-qualified,1f619,1F619
smiling_face_with_tear,🥲,E13.0,smiling face with tear,fully-qualified,1f972,1F972
face_savoring_food,😋,E0.6,face savoring food,fully-qualified,1f60b,1F60B
face_with_tongue,😛,E1.0,face with tongue,fully-qualified,1f61b,1F61B
winking_face_with_tongue,😜,E0.6,winking face with tongue,fully-qualified,1f61c,1F61C
zany_face,🤪,E5.0,zany face,fully-qualified,1f92a,1F92A
squinting_face_with_tongue,😝,E0.6,squinting face with tongue,fully-qualified,1f61d,1F61D
money_mouth_face,🤑,E1.0,money-mouth face,fully-qualified,1f911,1F911
smiling_face_with_open_hands,🤗,E1.0,smiling face with open hands,fully-qualified,1f917,1F917
face_with_hand_over_mouth,🤭,E5.0,face with hand over mouth,fully-qualified,1f92d,1F92D
face_with_open_eyes_and_hand_over_mouth,🫢,E14.0,face with open eyes and hand over mouth,fully-qualified,1fae2,1FAE2
face_with_peeking_eye,🫣,E14.0,face with peeking eye,fully-qualified,1fae3,1FAE3
shushing_face,🤫,E5.0,shushing face,fully-qualified,1f92b,1F92B
thinking_face,🤔,E1.0,thinking face,fully-qualified,1f914,1F914
saluting_face,🫡,E14.0,saluting face,fully-qualified,1fae1,1FAE1
zipper_mouth_face,🤐,E1.0,zipper-mouth face,fully-qualified,1f910,1F910
face_with_raised_eyebrow,🤨,E5.0,face with raised eyebrow,fully-qualified,1f928,1F928
neutral_face,😐,E0.7,neutral face,fully-qualified,1f610,1F610
expressionless_face,😑,E1.0,expressionless face,fully-qualified,1f611,1F611
face_without_mouth,😶,E1.0,face without mouth,fully-qualified,1f636,1F636
dotted_line_face,🫥,E14.0,dotted line face,fully-qualified,1fae5,1FAE5
face_in_clouds,😶‍🌫,E13.1,face in clouds,minimally-qualified,1f636_200d_1f32b,1F636 200D 1F32B
smirking_face,😏,E0.6,smirking face,fully-qualified,1f60f,1F60F
unamused_face,😒,E0.6,unamused face,fully-qualified,1f612,1F612
face_with_rolling_eyes,🙄,E1.0,face with rolling eyes,fully-qualified,1f644,1F644
grimacing_face,😬,E1.0,grimacing face,fully-qualified,1f62c,1F62C
face_exhaling,😮‍💨,E13.1,face exhaling,fully-qualified,1f62e_200d_1f4a8,1F62E 200D 1F4A8
lying_face,🤥,E3.0,lying face,fully-qualified,1f925,1F925
shaking_face,🫨,E15.0,shaking face,fully-qualified,1fae8,1FAE8
head_shaking_horizontally,🙂‍↔,E15.1,head shaking horizontally,minimally-qualified,1f642_200d_2194,1F642 200D 2194
head_shaking_vertically,🙂‍↕,E15.1,head shaking vertically,minimally-qualified,1f642_200d_2195,1F642 200D 2195
relieved_face,😌,E0.6,relieved face,fully-qualified,1f60c,1F60C
